url_id,domain,url_length,has_https,ssl_valid,domain_age_days,subdomain_count,special_characters,external_links,forms_count,popup_windows,iframe_usage,redirects_count,suspicious_keywords,favicon_different_domain,dns_record_exists,reported_phishing_count,is_phishing
URL_00001,tr23qiua08ekxd.ga,87,False,False,114,1,16,20,4,False,True,0,5,False,False,59,1
URL_00002,apple.com,57,True,True,1685,1,4,3,2,False,False,0,0,False,True,1,0
URL_00003,amazon.com,59,True,True,2276,1,3,8,0,False,False,0,0,False,True,1,0
URL_00004,40aq15o2nqw4c6l.com,86,False,False,88,1,18,14,3,False,False,2,4,False,False,64,1
URL_00005,apple.com,54,True,True,4523,3,1,5,1,False,False,0,0,False,True,2,0
URL_00006,1zwuhywm7s6nbn.ga,98,False,False,62,0,7,17,1,False,False,4,1,False,False,45,1
URL_00007,youtube.com,38,True,True,1241,0,2,7,0,False,True,1,0,False,True,0,0
URL_00008,nguczh9i.net,83,False,False,33,3,5,14,2,True,True,5,4,False,True,43,1
URL_00009,github.com,30,True,True,3782,0,3,9,1,False,False,1,0,False,True,0,0
URL_00010,youtube.com,28,False,False,1020,2,2,4,3,False,True,0,0,False,True,1,0
URL_00011,facebook.com,49,True,True,3928,1,2,5,2,False,True,0,0,False,True,1,0
URL_00012,l6spbnqs3qt.cf,97,False,False,127,1,6,12,4,False,True,9,3,True,True,42,1
URL_00013,qnyy95g5dog8.net,68,False,False,131,3,17,23,2,True,False,4,2,False,True,43,1
URL_00014,feffh8aoy.org,136,True,True,120,3,10,23,3,True,True,1,6,True,False,42,1
URL_00015,github.com,58,True,True,4241,1,2,8,1,False,False,1,0,False,True,1,0
URL_00016,p0aga24smux2r.cf,98,True,False,118,1,5,8,4,True,False,6,5,True,False,53,1
URL_00017,qu6l2ink4fk8wft.org,68,True,False,167,1,8,14,1,False,False,2,6,True,True,55,1
URL_00018,4yxfiblejg.cf,133,False,False,117,1,10,15,2,True,True,2,10,True,True,50,1
URL_00019,google.com,24,True,True,1572,0,1,5,0,False,True,0,0,False,True,1,0
URL_00020,9fq9tea7187f8.cf,146,False,False,99,2,10,13,3,True,True,5,3,True,True,49,1
URL_00021,xk6819y207mer.com,69,False,False,36,2,15,13,5,True,True,3,7,True,False,46,1
URL_00022,amazon.com,44,True,True,3139,0,1,2,2,False,False,0,0,False,True,0,0
URL_00023,stackoverflow.com,38,True,False,539,0,1,8,1,False,False,0,0,False,True,1,0
URL_00024,lo4qdbxvh.xyz,64,False,False,3,3,18,20,3,False,False,2,5,False,False,59,1
